Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2009 12:00:00 AM,Unknown,F,50 to 59,"4,955",189,3.81
01/01/2009 12:00:00 AM,Unknown,F,60 to 69,"3,477",324,9.32
01/01/2009 12:00:00 AM,Unknown,F,70 to 79,"1,774",341,19.22
01/01/2009 12:00:00 AM,Unknown,F,80 +,"1,600",452,28.25
01/01/2009 12:00:00 AM,Unknown,M,20 to 29,"9,404",14,0.15
01/01/2009 12:00:00 AM,Unknown,M,30 to 39,"6,360",32,0.5
01/01/2009 12:00:00 AM,Unknown,M,40 to 49,"5,736",122,2.13
01/01/2009 12:00:00 AM,Unknown,M,50 to 59,"4,473",296,6.62
01/01/2009 12:00:00 AM,Unknown,M,60 to 69,"3,185",526,16.51
01/01/2009 12:00:00 AM,Unknown,M,70 to 79,"1,562",472,30.22
01/01/2009 12:00:00 AM,Unknown,M,80 +,815,316,38.77
01/01/2009 12:00:00 AM,Western,F,20 to 29,"9,792",13,0.13
01/01/2009 12:00:00 AM,Western,F,30 to 39,"11,415",52,0.46
01/01/2009 12:00:00 AM,Western,F,40 to 49,"15,877",242,1.52
01/01/2009 12:00:00 AM,Western,F,50 to 59,"16,972",777,4.58
01/01/2009 12:00:00 AM,Western,F,60 to 69,"13,662","1,485",10.87
01/01/2009 12:00:00 AM,Western,F,70 to 79,"8,323","1,783",21.42
01/01/2009 12:00:00 AM,Western,F,80 +,"6,813","2,308",33.88
01/01/2009 12:00:00 AM,Western,M,20 to 29,"9,867",25,0.25
01/01/2009 12:00:00 AM,Western,M,30 to 39,"11,017",98,0.89
01/01/2009 12:00:00 AM,Western,M,40 to 49,"15,237",457,3
