Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2014 12:00:00 AM,Eastern,F,65 to 74,"10,464","2,547",24.34
01/01/2014 12:00:00 AM,Eastern,F,75 +,"9,165","2,671",29.14
01/01/2014 12:00:00 AM,Eastern,M,35 to 44,"9,466",251,2.65
01/01/2014 12:00:00 AM,Eastern,M,45 to 54,"12,093","1,074",8.88
01/01/2014 12:00:00 AM,Eastern,M,55 to 64,"13,571","2,328",17.15
01/01/2014 12:00:00 AM,Eastern,M,65 to 74,"10,149","2,712",26.72
01/01/2014 12:00:00 AM,Eastern,M,75 +,"6,349","2,262",35.63
01/01/2014 12:00:00 AM,Northern,F,35 to 44,"9,920",204,2.06
01/01/2014 12:00:00 AM,Northern,F,45 to 54,"12,057",993,8.24
01/01/2014 12:00:00 AM,Northern,F,55 to 64,"12,361","1,968",15.92
01/01/2014 12:00:00 AM,Northern,F,65 to 74,"9,138","2,128",23.29
01/01/2014 12:00:00 AM,Northern,F,75 +,"7,937","2,367",29.82
01/01/2014 12:00:00 AM,Northern,M,35 to 44,"9,618",135,1.4
01/01/2014 12:00:00 AM,Northern,M,45 to 54,"11,838",767,6.48
01/01/2014 12:00:00 AM,Northern,M,55 to 64,"12,208","1,764",14.45
01/01/2014 12:00:00 AM,Northern,M,65 to 74,"8,987","2,029",22.58
01/01/2014 12:00:00 AM,Northern,M,75 +,"5,625","1,850",32.89
01/01/2014 12:00:00 AM,Unknown,F,35 to 44,"4,667",60,1.29
01/01/2014 12:00:00 AM,Unknown,F,45 to 54,"4,626",249,5.38
01/01/2014 12:00:00 AM,Unknown,F,55 to 64,"4,009",385,9.6
01/01/2014 12:00:00 AM,Unknown,F,65 to 74,"2,681",415,15.48
01/01/2014 12:00:00 AM,Unknown,F,75 +,"2,148",503,23.42
01/01/2014 12:00:00 AM,Unknown,M,35 to 44,"4,405",45,1.02
01/01/2014 12:00:00 AM,Unknown,M,45 to 54,"4,432",171,3.86
01/01/2014 12:00:00 AM,Unknown,M,55 to 64,"3,607",318,8.82
01/01/2014 12:00:00 AM,Unknown,M,65 to 74,"2,469",359,14.54
01/01/2014 12:00:00 AM,Unknown,M,75 +,"1,583",400,25.27
01/01/2014 12:00:00 AM,Western,F,35 to 44,"12,041",245,2.03
01/01/2014 12:00:00 AM,Western,F,45 to 54,"16,456","1,325",8.05
01/01/2014 12:00:00 AM,Western,F,55 to 64,"17,508","2,354",13.45
01/01/2014 12:00:00 AM,Western,F,65 to 74,"13,457","2,491",18.51
01/01/2014 12:00:00 AM,Western,F,75 +,"11,610","2,716",23.39
01/01/2014 12:00:00 AM,Western,M,35 to 44,"11,639",219,1.88
01/01/2014 12:00:00 AM,Western,M,45 to 54,"15,851","1,110",7
01/01/2014 12:00:00 AM,Western,M,55 to 64,"16,913","2,243",13.26
01/01/2014 12:00:00 AM,Western,M,65 to 74,"13,104","2,663",20.32
01/01/2014 12:00:00 AM,Western,M,75 +,"8,536","2,593",30.38
01/01/2015 12:00:00 AM,Central,F,35 to 44,"31,718",530,1.67
01/01/2015 12:00:00 AM,Central,F,45 to 54,"34,606","2,434",7.03
01/01/2015 12:00:00 AM,Central,F,55 to 64,"31,290","4,417",14.12
01/01/2015 12:00:00 AM,Central,F,65 to 74,"21,200","4,614",21.76
01/01/2015 12:00:00 AM,Central,F,75 +,"16,875","4,666",27.65
01/01/2015 12:00:00 AM,Central,M,35 to 44,"29,825",370,1.24
01/01/2015 12:00:00 AM,Central,M,45 to 54,"33,143","1,931",5.83
01/01/2015 12:00:00 AM,Central,M,55 to 64,"29,673","3,711",12.51
01/01/2015 12:00:00 AM,Central,M,65 to 74,"19,504","4,057",20.8
01/01/2015 12:00:00 AM,Central,M,75 +,"11,758","3,701",31.48
01/01/2015 12:00:00 AM,Eastern,F,35 to 44,"9,502",308,3.24
01/01/2015 12:00:00 AM,Eastern,F,45 to 54,"11,957","1,297",10.85
01/01/2015 12:00:00 AM,Eastern,F,55 to 64,"14,147","2,545",17.99
01/01/2015 12:00:00 AM,Eastern,F,65 to 74,"10,904","2,657",24.37
01/01/2015 12:00:00 AM,Eastern,F,75 +,"9,288","2,730",29.39
01/01/2015 12:00:00 AM,Eastern,M,35 to 44,"9,362",225,2.4
01/01/2015 12:00:00 AM,Eastern,M,45 to 54,"11,800","1,024",8.68
01/01/2015 12:00:00 AM,Eastern,M,55 to 64,"13,666","2,332",17.06
01/01/2015 12:00:00 AM,Eastern,M,65 to 74,"10,504","2,748",26.16
01/01/2015 12:00:00 AM,Eastern,M,75 +,"6,527","2,332",35.73
01/01/2015 12:00:00 AM,Northern,F,35 to 44,"9,760",202,2.07
01/01/2015 12:00:00 AM,Northern,F,45 to 54,"11,866",954,8.04
01/01/2015 12:00:00 AM,Northern,F,55 to 64,"12,638","2,022",16
01/01/2015 12:00:00 AM,Northern,F,65 to 74,"9,512","2,248",23.63
01/01/2015 12:00:00 AM,Northern,F,75 +,"7,982","2,376",29.77
01/01/2015 12:00:00 AM,Northern,M,35 to 44,"9,477",134,1.41
01/01/2015 12:00:00 AM,Northern,M,45 to 54,"11,717",721,6.15
01/01/2015 12:00:00 AM,Northern,M,55 to 64,"12,340","1,835",14.87
01/01/2015 12:00:00 AM,Northern,M,65 to 74,"9,334","2,051",21.97
01/01/2015 12:00:00 AM,Northern,M,75 +,"5,827","1,903",32.66
01/01/2015 12:00:00 AM,Unknown,F,35 to 44,"4,197",35,0.83
01/01/2015 12:00:00 AM,Unknown,F,45 to 54,"4,260",226,5.31
01/01/2015 12:00:00 AM,Unknown,F,55 to 64,"3,816",370,9.7
01/01/2015 12:00:00 AM,Unknown,F,65 to 74,"2,656",409,15.4
01/01/2015 12:00:00 AM,Unknown,F,75 +,"2,107",491,23.3
01/01/2015 12:00:00 AM,Unknown,M,35 to 44,"3,943",42,1.07
01/01/2015 12:00:00 AM,Unknown,M,45 to 54,"4,111",145,3.53
01/01/2015 12:00:00 AM,Unknown,M,55 to 64,"3,482",309,8.87
01/01/2015 12:00:00 AM,Unknown,M,65 to 74,"2,443",354,14.49
01/01/2015 12:00:00 AM,Unknown,M,75 +,"1,606",395,24.6
01/01/2015 12:00:00 AM,Western,F,35 to 44,"11,958",235,1.97
01/01/2015 12:00:00 AM,Western,F,45 to 54,"16,020","1,254",7.83
01/01/2015 12:00:00 AM,Western,F,55 to 64,"17,898","2,455",13.72
01/01/2015 12:00:00 AM,Western,F,65 to 74,"14,044","2,615",18.62
01/01/2015 12:00:00 AM,Western,F,75 +,"11,880","2,840",23.91
01/01/2015 12:00:00 AM,Western,M,35 to 44,"11,439",205,1.79
01/01/2015 12:00:00 AM,Western,M,45 to 54,"15,576","1,080",6.93
01/01/2015 12:00:00 AM,Western,M,55 to 64,"17,277","2,337",13.53
01/01/2015 12:00:00 AM,Western,M,65 to 74,"13,546","2,769",20.44
01/01/2015 12:00:00 AM,Western,M,75 +,"8,891","2,707",30.45
01/01/2016 12:00:00 AM,Central,F,35 to 44,"32,198",482,1.5
01/01/2016 12:00:00 AM,Central,F,45 to 54,"34,591","2,326",6.72
01/01/2016 12:00:00 AM,Central,F,55 to 64,"32,391","4,587",14.16
01/01/2016 12:00:00 AM,Central,F,65 to 74,"22,261","4,771",21.43
01/01/2016 12:00:00 AM,Central,F,75 +,"17,303","4,816",27.83
01/01/2016 12:00:00 AM,Central,M,35 to 44,"30,347",354,1.17
01/01/2016 12:00:00 AM,Central,M,45 to 54,"33,077","1,862",5.63
01/01/2016 12:00:00 AM,Central,M,55 to 64,"31,024","3,911",12.61
01/01/2016 12:00:00 AM,Central,M,65 to 74,"20,266","4,258",21.01
01/01/2016 12:00:00 AM,Central,M,75 +,"12,284","3,834",31.21
01/01/2016 12:00:00 AM,Eastern,F,35 to 44,"9,388",273,2.91
01/01/2016 12:00:00 AM,Eastern,F,45 to 54,"11,706","1,231",10.52
01/01/2016 12:00:00 AM,Eastern,F,55 to 64,"14,276","2,555",17.9
01/01/2016 12:00:00 AM,Eastern,F,65 to 74,"11,245","2,734",24.31
01/01/2016 12:00:00 AM,Eastern,F,75 +,"9,469","2,798",29.55
01/01/2016 12:00:00 AM,Eastern,M,35 to 44,"9,291",197,2.12
01/01/2016 12:00:00 AM,Eastern,M,45 to 54,"11,583",973,8.4
01/01/2016 12:00:00 AM,Eastern,M,55 to 64,"13,738","2,340",17.03
01/01/2016 12:00:00 AM,Eastern,M,65 to 74,"10,804","2,809",26
01/01/2016 12:00:00 AM,Eastern,M,75 +,"6,795","2,444",35.97
01/01/2016 12:00:00 AM,Northern,F,35 to 44,"9,631",202,2.1
01/01/2016 12:00:00 AM,Northern,F,45 to 54,"11,700",926,7.91
01/01/2016 12:00:00 AM,Northern,F,55 to 64,"12,924","2,086",16.14
01/01/2016 12:00:00 AM,Northern,F,65 to 74,"9,845","2,343",23.8
01/01/2016 12:00:00 AM,Northern,F,75 +,"8,181","2,422",29.61
01/01/2016 12:00:00 AM,Northern,M,35 to 44,"9,348",126,1.35
01/01/2016 12:00:00 AM,Northern,M,45 to 54,"11,642",710,6.1
01/01/2016 12:00:00 AM,Northern,M,55 to 64,"12,505","1,844",14.75
01/01/2016 12:00:00 AM,Northern,M,65 to 74,"9,725","2,203",22.65
01/01/2016 12:00:00 AM,Northern,M,75 +,"6,042","1,960",32.44
01/01/2016 12:00:00 AM,Unknown,F,35 to 44,"3,641",31,0.85
01/01/2016 12:00:00 AM,Unknown,F,45 to 54,"3,917",191,4.88
