Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2003 12:00:00 AM,Eastern,F,40 to 49,"13,874","2,362",17.02
01/01/2003 12:00:00 AM,Eastern,F,50 to 59,"12,510","4,561",36.46
01/01/2003 12:00:00 AM,Eastern,F,60 to 69,"8,505","4,680",55.03
01/01/2003 12:00:00 AM,Eastern,F,70 to 79,"6,344","4,427",69.78
01/01/2003 12:00:00 AM,Eastern,F,80 +,"5,440","4,039",74.25
01/01/2003 12:00:00 AM,Eastern,M,20 to 29,"8,365",135,1.61
01/01/2003 12:00:00 AM,Eastern,M,30 to 39,"9,881",654,6.62
01/01/2003 12:00:00 AM,Eastern,M,40 to 49,"13,370","2,101",15.71
01/01/2003 12:00:00 AM,Eastern,M,50 to 59,"12,903","4,048",31.37
01/01/2003 12:00:00 AM,Eastern,M,60 to 69,"8,418","4,176",49.61
01/01/2003 12:00:00 AM,Eastern,M,70 to 79,"5,186","3,229",62.26
01/01/2003 12:00:00 AM,Eastern,M,80 +,"2,793","1,831",65.56
01/01/2003 12:00:00 AM,Northern,F,20 to 29,"8,056",171,2.12
01/01/2003 12:00:00 AM,Northern,F,30 to 39,"10,142",727,7.17
01/01/2003 12:00:00 AM,Northern,F,40 to 49,"12,463","2,076",16.66
01/01/2003 12:00:00 AM,Northern,F,50 to 59,"10,797","3,732",34.57
01/01/2003 12:00:00 AM,Northern,F,60 to 69,"7,121","3,858",54.18
01/01/2003 12:00:00 AM,Northern,F,70 to 79,"5,523","3,820",69.17
01/01/2003 12:00:00 AM,Northern,F,80 +,"4,623","3,468",75.02
01/01/2003 12:00:00 AM,Northern,M,20 to 29,"7,969",133,1.67
01/01/2003 12:00:00 AM,Northern,M,30 to 39,"9,905",683,6.9
01/01/2003 12:00:00 AM,Northern,M,40 to 49,"12,166","1,847",15.18
01/01/2003 12:00:00 AM,Northern,M,50 to 59,"10,946","3,378",30.86
01/01/2003 12:00:00 AM,Northern,M,60 to 69,"7,112","3,392",47.69
01/01/2003 12:00:00 AM,Northern,M,70 to 79,"4,510","2,809",62.28
01/01/2003 12:00:00 AM,Northern,M,80 +,"2,398","1,631",68.02
01/01/2003 12:00:00 AM,Unknown,F,20 to 29,"12,041",127,1.05
01/01/2003 12:00:00 AM,Unknown,F,30 to 39,"9,096",350,3.85
01/01/2003 12:00:00 AM,Unknown,F,40 to 49,"7,260",729,10.04
01/01/2003 12:00:00 AM,Unknown,F,50 to 59,"5,053","1,328",26.28
01/01/2003 12:00:00 AM,Unknown,F,60 to 69,"2,966","1,313",44.27
01/01/2003 12:00:00 AM,Unknown,F,70 to 79,"2,021","1,269",62.79
01/01/2003 12:00:00 AM,Unknown,F,80 +,"1,620","1,141",70.43
01/01/2003 12:00:00 AM,Unknown,M,20 to 29,"11,788",113,0.96
01/01/2003 12:00:00 AM,Unknown,M,30 to 39,"8,546",361,4.22
01/01/2003 12:00:00 AM,Unknown,M,40 to 49,"6,974",698,10.01
01/01/2003 12:00:00 AM,Unknown,M,50 to 59,"4,683","1,128",24.09
01/01/2003 12:00:00 AM,Unknown,M,60 to 69,"2,789","1,109",39.76
01/01/2003 12:00:00 AM,Unknown,M,70 to 79,"1,554",832,53.54
01/01/2003 12:00:00 AM,Unknown,M,80 +,803,466,58.03
01/01/2003 12:00:00 AM,Western,F,20 to 29,"9,884",226,2.29
01/01/2003 12:00:00 AM,Western,F,30 to 39,"12,881",820,6.37
01/01/2003 12:00:00 AM,Western,F,40 to 49,"17,201","2,421",14.07
01/01/2003 12:00:00 AM,Western,F,50 to 59,"15,074","4,836",32.08
01/01/2003 12:00:00 AM,Western,F,60 to 69,"10,284","5,130",49.88
01/01/2003 12:00:00 AM,Western,F,70 to 79,"7,637","5,006",65.55
01/01/2003 12:00:00 AM,Western,F,80 +,"6,390","4,468",69.92
01/01/2003 12:00:00 AM,Western,M,20 to 29,"9,818",138,1.41
01/01/2003 12:00:00 AM,Western,M,30 to 39,"12,548",694,5.53
01/01/2003 12:00:00 AM,Western,M,40 to 49,"16,531","2,145",12.98
01/01/2003 12:00:00 AM,Western,M,50 to 59,"15,003","4,175",27.83
01/01/2003 12:00:00 AM,Western,M,60 to 69,"10,217","4,368",42.75
01/01/2003 12:00:00 AM,Western,M,70 to 79,"6,603","3,665",55.51
01/01/2003 12:00:00 AM,Western,M,80 +,"3,707","2,179",58.78
