Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2001 12:00:00 AM,Unknown,M,70 to 79,"1,565",59,3.77
01/01/2001 12:00:00 AM,Unknown,M,80 +,791,42,5.31
01/01/2001 12:00:00 AM,Western,F,0 to 9,"9,205",822,8.93
01/01/2001 12:00:00 AM,Western,F,10 to 19,"9,577","1,123",11.73
01/01/2001 12:00:00 AM,Western,F,20 to 29,"10,088",845,8.38
01/01/2001 12:00:00 AM,Western,F,30 to 39,"13,901",893,6.42
01/01/2001 12:00:00 AM,Western,F,40 to 49,"16,752","1,052",6.28
01/01/2001 12:00:00 AM,Western,F,50 to 59,"14,302",984,6.88
01/01/2001 12:00:00 AM,Western,F,60 to 69,"9,580",598,6.24
01/01/2001 12:00:00 AM,Western,F,70 to 79,"7,548",475,6.29
01/01/2001 12:00:00 AM,Western,F,80 +,"6,201",300,4.84
01/01/2001 12:00:00 AM,Western,M,0 to 9,"9,901","1,307",13.2
01/01/2001 12:00:00 AM,Western,M,10 to 19,"10,127","1,381",13.64
01/01/2001 12:00:00 AM,Western,M,20 to 29,"10,038",460,4.58
01/01/2001 12:00:00 AM,Western,M,30 to 39,"13,346",501,3.75
01/01/2001 12:00:00 AM,Western,M,40 to 49,"16,202",541,3.34
01/01/2001 12:00:00 AM,Western,M,50 to 59,"14,237",509,3.58
01/01/2001 12:00:00 AM,Western,M,60 to 69,"9,581",390,4.07
01/01/2001 12:00:00 AM,Western,M,70 to 79,"6,431",288,4.48
01/01/2001 12:00:00 AM,Western,M,80 +,"3,524",184,5.22
01/01/2002 12:00:00 AM,Central,F,0 to 9,"19,774","2,109",10.67
01/01/2002 12:00:00 AM,Central,F,10 to 19,"23,672","3,589",15.16
01/01/2002 12:00:00 AM,Central,F,20 to 29,"23,760","2,549",10.73
01/01/2002 12:00:00 AM,Central,F,30 to 39,"28,856","2,333",8.08
01/01/2002 12:00:00 AM,Central,F,40 to 49,"31,289","2,742",8.76
01/01/2002 12:00:00 AM,Central,F,50 to 59,"23,449","2,174",9.27
01/01/2002 12:00:00 AM,Central,F,60 to 69,"14,443","1,296",8.97
01/01/2002 12:00:00 AM,Central,F,70 to 79,"11,242",881,7.84
01/01/2002 12:00:00 AM,Central,F,80 +,"8,555",540,6.31
01/01/2002 12:00:00 AM,Central,M,0 to 9,"20,340","3,099",15.24
01/01/2002 12:00:00 AM,Central,M,10 to 19,"24,795","4,490",18.11
01/01/2002 12:00:00 AM,Central,M,20 to 29,"22,578","1,581",7
01/01/2002 12:00:00 AM,Central,M,30 to 39,"26,319","1,206",4.58
01/01/2002 12:00:00 AM,Central,M,40 to 49,"29,334","1,257",4.29
01/01/2002 12:00:00 AM,Central,M,50 to 59,"22,282","1,010",4.53
01/01/2002 12:00:00 AM,Central,M,60 to 69,"13,524",653,4.83
01/01/2002 12:00:00 AM,Central,M,70 to 79,"8,663",454,5.24
01/01/2002 12:00:00 AM,Central,M,80 +,"4,268",226,5.3
01/01/2002 12:00:00 AM,Eastern,F,0 to 9,"7,764",797,10.27
01/01/2002 12:00:00 AM,Eastern,F,10 to 19,"8,085","1,000",12.37
01/01/2002 12:00:00 AM,Eastern,F,20 to 29,"8,278",635,7.67
01/01/2002 12:00:00 AM,Eastern,F,30 to 39,"10,419",581,5.58
01/01/2002 12:00:00 AM,Eastern,F,40 to 49,"13,969",766,5.48
01/01/2002 12:00:00 AM,Eastern,F,50 to 59,"12,189",808,6.63
01/01/2002 12:00:00 AM,Eastern,F,60 to 69,"8,274",511,6.18
01/01/2002 12:00:00 AM,Eastern,F,70 to 79,"6,318",375,5.94
01/01/2002 12:00:00 AM,Eastern,F,80 +,"5,448",272,4.99
01/01/2002 12:00:00 AM,Eastern,M,0 to 9,"8,166","1,186",14.52
01/01/2002 12:00:00 AM,Eastern,M,10 to 19,"8,849","1,409",15.92
01/01/2002 12:00:00 AM,Eastern,M,20 to 29,"8,302",458,5.52
01/01/2002 12:00:00 AM,Eastern,M,30 to 39,"10,177",304,2.99
01/01/2002 12:00:00 AM,Eastern,M,40 to 49,"13,537",425,3.14
01/01/2002 12:00:00 AM,Eastern,M,50 to 59,"12,528",394,3.14
01/01/2002 12:00:00 AM,Eastern,M,60 to 69,"8,112",302,3.72
01/01/2002 12:00:00 AM,Eastern,M,70 to 79,"5,208",226,4.34
01/01/2002 12:00:00 AM,Eastern,M,80 +,"2,738",115,4.2
01/01/2002 12:00:00 AM,Northern,F,0 to 9,"7,393",701,9.48
01/01/2002 12:00:00 AM,Northern,F,10 to 19,"7,657","1,002",13.09
01/01/2002 12:00:00 AM,Northern,F,20 to 29,"8,154",747,9.16
01/01/2002 12:00:00 AM,Northern,F,30 to 39,"10,312",726,7.04
01/01/2002 12:00:00 AM,Northern,F,40 to 49,"12,446",883,7.09
01/01/2002 12:00:00 AM,Northern,F,50 to 59,"10,377",770,7.42
01/01/2002 12:00:00 AM,Northern,F,60 to 69,"6,888",487,7.07
01/01/2002 12:00:00 AM,Northern,F,70 to 79,"5,522",356,6.45
01/01/2002 12:00:00 AM,Northern,F,80 +,"4,608",237,5.14
01/01/2002 12:00:00 AM,Northern,M,0 to 9,"8,015","1,115",13.91
01/01/2002 12:00:00 AM,Northern,M,10 to 19,"8,181","1,235",15.1
01/01/2002 12:00:00 AM,Northern,M,20 to 29,"7,968",453,5.69
01/01/2002 12:00:00 AM,Northern,M,30 to 39,"10,194",355,3.48
01/01/2002 12:00:00 AM,Northern,M,40 to 49,"12,069",460,3.81
01/01/2002 12:00:00 AM,Northern,M,50 to 59,"10,630",359,3.38
01/01/2002 12:00:00 AM,Northern,M,60 to 69,"6,819",249,3.65
01/01/2002 12:00:00 AM,Northern,M,70 to 79,"4,435",198,4.46
01/01/2002 12:00:00 AM,Northern,M,80 +,"2,382",110,4.62
01/01/2002 12:00:00 AM,Unknown,F,0 to 9,"7,076",631,8.92
01/01/2002 12:00:00 AM,Unknown,F,10 to 19,"13,291","1,643",12.36
01/01/2002 12:00:00 AM,Unknown,F,20 to 29,"11,948",924,7.73
01/01/2002 12:00:00 AM,Unknown,F,30 to 39,"9,497",559,5.89
01/01/2002 12:00:00 AM,Unknown,F,40 to 49,"7,259",464,6.39
01/01/2002 12:00:00 AM,Unknown,F,50 to 59,"4,964",341,6.87
01/01/2002 12:00:00 AM,Unknown,F,60 to 69,"2,895",189,6.53
01/01/2002 12:00:00 AM,Unknown,F,70 to 79,"2,091",113,5.4
01/01/2002 12:00:00 AM,Unknown,F,80 +,"1,647",91,5.53
